"Symbol","Description","Universe"
"AE","Adams Resources & Energy Inc","Domestic"
"AEDC","American Energy Development Corp","Domestic"
"AEE","Ameren Corp","Domestic"
"AEEI","American Environmental Energy Inc","Domestic"
"AEGG","American Energy Group Ltd","Domestic"
"AEGN","Aegion Corp","Domestic"
"AEHR","Aehr Test Systems","Domestic"
"AEIS","Advanced Energy Industries Inc","Domestic"
"AEL","American Equity Investment Life Holding Co","Domestic"
"AEMD","Aethlon Medical Inc","Domestic"
"AENG","Advanced Engine Technologies Inc","Domestic"
"AEO","American Eagle Outfitters Inc","Domestic"
"AEP","American Electric Power Company Inc","Domestic"
"AERG","Applied Energetics Inc","Domestic"
"AERI","Aerie Pharmaceuticals Inc","Domestic"
"AERN","AER Energy Resources Inc","Domestic"
"AERO","AeroGrow International Inc","Domestic"
"AES","AES Corp","Domestic"
"AESE","Allied Esports Entertainment Inc","Domestic"
"AEXE","AIM Energy Inc","Domestic"
"AEY","ADDvantage Technologies Group Inc","Domestic"
"AEYE","AudioEye Inc","Domestic"
"AEZS","Aeterna Zentaris Inc","Domestic"
"AFAP","AFA Protective Systems Inc","Domestic"
"AFCL","Amcor Financial Corp","Domestic"
"AFFN","Satelinx International Inc","Domestic"
"AFFU","Affluence Corp","Domestic"
"AFFY","Affymax Inc","Domestic"
"AFG","American Financial Group Inc","Domestic"
"AFH","Atlas Financial Holdings Inc","Domestic"
"AFI","Armstrong Flooring Inc","Domestic"
"AFIN","American Finance Trust Inc","Domestic"
"AFL","Aflac Inc","Domestic"
"AFPW","Alumifuel Power Corp","Domestic"
"AFTC","Alternative Fuel Technologies Inc","Domestic"
"AFTM","Aftermaster Inc","Domestic"
"AGCO","AGCO Corp","Domestic"
"AGCZ","Andes Gold Corp","Domestic"
"AGDY","Agri-Dynamics Inc","Domestic"
"AGE","AgeX Therapeutics Inc","Domestic"
"AGEN","Agenus Inc","Domestic"
"AGFS","AgroFresh Solutions Inc","Domestic"
"AGHC","Aeon Global Health Corp","Domestic"
"AGIN","American Graphite Technologies Inc","Domestic"
"AGIO","Agios Pharmaceuticals Inc","Domestic"
"AGLE","Aeglea Bio Therapeutics Inc","Domestic"
"AGM","Federal Agricultural Mortgage Corp","Domestic"
"AGM/A","Federal Agricultural Mortgage Corp","Domestic"
"AGNC","AGNC Investment Corp","Domestic"
"AGO","Assured Guaranty Ltd","Domestic"
"AGR","Avangrid Inc","Domestic"
"AGRX","Agile Therapeutics Inc","Domestic"
"AGS","PlayAGS Inc","Domestic"
"AGSO","AgriSolar Solutions Inc","Domestic"
"AGTC","Applied Genetic Technologies Corp","Domestic"
"AGTK","Agritek Holdings Inc","Domestic"
"AGTT","Angstrom Technologies Inc","Domestic"
"AGX","Argan Inc","Domestic"
"AGYS","Agilysys Inc","Domestic"
"AHAG","Alpha Technologies Group Inc","Domestic"
"AHC","A. H. Belo Corp","Domestic"
"AHCO","Adapthealth Corp","Domestic"
"AHCOW","Adapthealth Corp","Domestic"
"AHCP","Anchorage International Holdings Corp","Domestic"
"AHFD","Active Health Foods Inc","Domestic"
"AHFI","Absolute Health and Fitness Inc","Domestic"
"AHH","Armada Hoffler Properties Inc","Domestic"
"AHII","Fyolo Technology Corp","Domestic"
"AHIX","ALUF Holdings Inc","Domestic"
"AHPI","Allied Healthcare Products Inc","Domestic"
"AHROQ","AtheroNova Inc","Domestic"
"AHT","Ashford Hospitality Trust Inc","Domestic"
"AI","Arlington Asset Investment Corp","Domestic"
"AIFS","Agent Information Software Inc","Domestic"
"AIG","American International Group Inc","Domestic"
"AIG/WS","American International Group Inc","Domestic"
"AIGI","Axia International Group Inc","Domestic"
"AIKI","Aikido Pharma Inc","Domestic"
"AIKO","Alternative Investment Corp","Domestic"
"AIM","AIM ImmunoTech Inc","Domestic"
"AIMC","Altra Industrial Motion Corp","Domestic"
"AIMT","Aimmune Therapeutics Inc","Domestic"
"AIN","Albany International Corp","Domestic"
"AINC","Ashford Inc","Domestic"
"AINV","Apollo Investment Corp","Domestic"
"AIR","AAR Corp","Domestic"
"AIRG","Airgain Inc","Domestic"
"AIRI","Air Industries Group","Domestic"
"AIRO","Airspan Networks Inc","Domestic"
"AIRT","Air T Inc","Domestic"
"AIT","Applied Industrial Technologies Inc","Domestic"
"AIV","Apartment Investment and Management Co","Domestic"
"AIVN","American International Ventures Inc","Domestic"
"AIZ","Assurant Inc","Domestic"
"AJG","Arthur J Gallagher & Co","Domestic"
"AJRD","Aerojet Rocketdyne Holdings Inc","Domestic"
"AJX","Great Ajax Corp","Domestic"
"AJXA","Great Ajax Corp","Domestic"
"AJXGF","Agjunction Inc","Domestic"
"AKAM","Akamai Technologies Inc","Domestic"
"AKAOQ","Achaogen Inc","Domestic"
"AKBA","Akebia Therapeutics Inc","Domestic"
"AKCA","Akcea Therapeutics Inc","Domestic"
"AKER","Akers Biosciences Inc","Domestic"
"AKOM","Aerkomm Inc","Domestic"
"AKR","Acadia Realty Trust","Domestic"
"AKRO","Akero Therapeutics Inc","Domestic"
"AKRX","Akorn Inc","Domestic"
"AKSY","Aksys Ltd","Domestic"
"AKTS","Akoustis Technologies Inc","Domestic"
"AKVA","Arkanova Energy Corp","Domestic"
"AL","Air Lease Corp","Domestic"
"ALAN","Alanco Technologies Inc","Domestic"
"ALB","Albemarle Corp","Domestic"
"ALBO","Albireo Pharma Inc","Domestic"
"ALBY","Community Capital Bancshares Inc","Domestic"
"ALCO","Alico Inc","Domestic"
"ALDX","Aldeyra Therapeutics Inc","Domestic"
"ALE","ALLETE Inc","Domestic"
"ALEC","Alector Inc","Domestic"
"ALEX","Alexander & Baldwin Inc","Domestic"
"ALG","Alamo Group Inc","Domestic"
"ALGN","Align Technology Inc","Domestic"
"ALGT","Allegiant Travel Co","Domestic"
"ALIAF","Alacer Gold Corp","Domestic"
"ALID","Allied Corp","Domestic"
"ALIM","Alimera Sciences Inc","Domestic"
"ALJJ","ALJ Regional Holdings Inc","Domestic"
"ALK","Alaska Air Group Inc","Domestic"
"ALKM","Alkame Holdings Inc","Domestic"
"ALKN","Alkane Inc","Domestic"
"ALKS","Alkermes Plc","Domestic"
"ALL","Allstate Corp","Domestic"
"ALLE","Allegion PLC","Domestic"
"ALLK","Allakos Inc","Domestic"
"ALLM","Alliance Bioenergy Plus Inc","Domestic"
"ALLN","Allin Corp","Domestic"
"ALLO","Allogene Therapeutics Inc","Domestic"
"ALLQ","All-Q-Tell Corp","Domestic"
"ALLY","Ally Financial Inc","Domestic"
"ALMC","Alimco Financial Corp","Domestic"
"ALME","Alamo Energy Corp","Domestic"
"ALNA","Allena Pharmaceuticals Inc","Domestic"
"ALNY","Alnylam Pharmaceuticals Inc","Domestic"
"ALOD","Allied Resources Inc","Domestic"
"ALOT","AstroNova Inc","Domestic"
"ALPE","Alpha-En Corp","Domestic"
"ALPIB","Alpine Banks of Colorado","Domestic"
"ALPN","Alpine Immune Sciences Inc","Domestic"
"ALPP","Alpine 4 Technologies Ltd","Domestic"
"ALRM","Alarm.com Holdings Inc","Domestic"
"ALRN","Aileron Therapeutics Inc","Domestic"
"ALRS","Alerus Financial Corp","Domestic"
"ALRT","ALR Technologies Inc","Domestic"
"ALSE","Alseres Pharmaceuticals Inc","Domestic"
"ALSI","Atlas Resources International Inc","Domestic"
"ALSK","Alaska Communications Systems Group Inc","Domestic"
"ALSN","Allison Transmission Holdings Inc","Domestic"
"ALT","Altimmune Inc","Domestic"
"ALTD","Altitude International Inc","Domestic"
"ALTG","Alta Equipment Group Inc","Domestic"
"ALTG/WS","Alta Equipment Group Inc","Domestic"
"ALTM","Altus Midstream Co","Domestic"
"ALTMW","Altus Midstream Co","Domestic"
"ALTN","Alternus Energy Inc","Domestic"
"ALTR","Altair Engineering Inc","Domestic"
"ALTX","Altex Industries Inc","Domestic"
"ALX","Alexander's Inc","Domestic"
"ALXN","Alexion Pharmaceuticals Inc","Domestic"
"ALYE","Aly Energy Services Inc","Domestic"
"ALYI","Alternet Systems Inc","Domestic"
"AM","Antero Midstream Corp","Domestic"
"AMAG","AMAG Pharmaceuticals Inc","Domestic"
"AMAL","Amalgamated Bank","Domestic"
"AMAR","Amarillo Biosciences Inc","Domestic"
"AMAT","Applied Materials Inc","Domestic"
"AMAZ","Amazing Energy Oil and Gas Co","Domestic"
"AMBA","Ambarella Inc","Domestic"
"AMBC","Ambac Financial Group Inc","Domestic"
"AMBC/WS","Ambac Financial Group Inc","Domestic"
"AMBD","American Mobile Dental Corp","Domestic"
"AMBK","American Bank Inc","Domestic"
"AMBS","Amarantus Bioscience Holdings Inc","Domestic"
"AMBZ","American Business Bank","Domestic"
"AMC","AMC Entertainment Holdings Inc","Domestic"
"AMCR","Amcor PLC","Domestic"
"AMCX","AMC Networks Inc","Domestic"
"AMD","Advanced Micro Devices Inc","Domestic"
"AME","AMETEK Inc","Domestic"
"AMED","Amedisys Inc","Domestic"
"AMEH","Apollo Medical Holdings Inc","Domestic"
"AMEN","AMEN Properties Inc","Domestic"
"AMFC","AMB Financial Corp","Domestic"
"AMFL","American Films Inc","Domestic"
"AMG","Affiliated Managers Group Inc","Domestic"
"AMGN","Amgen Inc","Domestic"
"AMGY","American Metal & Technology Inc","Domestic"
"AMH","American Homes 4 Rent","Domestic"
"AMHV","American Hemp Ventures Inc","Domestic"
"AMIN","American International Industries Inc","Domestic"
"AMK","AssetMark Financial Holdings Inc","Domestic"
"AMKR","Amkor Technology Inc","Domestic"
"AMLC","Amelco Corp","Domestic"
"AMLH","American Leisure Holdings Inc","Domestic"
"AMLM","American Lithium Minerals Inc","Domestic"
"AMMJ","American Cannabis Company Inc","Domestic"
"AMMX","AmeraMex International Inc","Domestic"
"AMN","AMN Healthcare Services Inc","Domestic"
"AMNB","American National Bankshares Inc","Domestic"
"AMNF","Armanino Foods Of Distinction Inc","Domestic"
"AMNL","Applied Minerals Inc","Domestic"
"AMNP","American Sierra Gold Corp","Domestic"
"AMOT","Allied Motion Technologies Inc","Domestic"
"AMP","Ameriprise Financial Inc","Domestic"
"AMPE","Ampio Pharmaceuticals Inc","Domestic"
"AMPH","Amphastar Pharmaceuticals Inc","Domestic"
"AMPY","Amplify Energy Corp","Domestic"
"AMRA","American Racing Capital Inc","Domestic"
"AMRB","American River Bankshares","Domestic"
"AMRC","Ameresco Inc","Domestic"
"AMRH","Ameri Holdings Inc","Domestic"
"AMRK","A-Mark Precious Metals Inc","Domestic"
"AMRQQ","Alta Mesa Resources Inc","Domestic"
"AMRS","Amyris Inc","Domestic"
"AMRT","American Mart Corp","Domestic"
"AMRX","Amneal Pharmaceuticals Inc","Domestic"
"AMS","American Shared Hospital Services","Domestic"
"AMSC","American Superconductor Corp","Domestic"
"AMSF","Amerisafe Inc","Domestic"
"AMSWA","American Software Inc","Domestic"
"AMT","American Tower Corp","Domestic"
"AMTA","Amistar Corp","Domestic"
"AMTB","Amerant Bancorp Inc","Domestic"
"AMTBB","Amerant Bancorp Inc","Domestic"
"AMTCQ","Ameritrans Capital Corp","Domestic"
"AMTD","TD Ameritrade Holding Corp","Domestic"
"AMTX","Aemetis Inc","Domestic"
"AMTY","Amerityre Corp","Domestic"
"AMWD","American Woodmark Corp","Domestic"
"AMWK","Ameristar Network Inc","Domestic"
"AMZN","Amazon.com Inc","Domestic"
"AN","AutoNation Inc","Domestic"
"ANAB","AnaptysBio Inc","Domestic"
"ANAS","Alternaturals Inc","Domestic"
"ANAT","American National Insurance Co","Domestic"
"ANAV","Alpha Network Alliance Ventures Inc","Domestic"
"ANCSQ","American Consumers Inc","Domestic"
"ANDE","Andersons Inc","Domestic"
"ANDR","Andrea Electronics Corp","Domestic"
"ANET","Arista Networks Inc","Domestic"
"ANF","Abercrombie & Fitch Co","Domestic"
"ANFC","Black Ridge Oil & Gas Inc","Domestic"
"ANGI","ANGI Homeservices Inc","Domestic"
"ANGO","AngioDynamics Inc","Domestic"
"ANH","Anworth Mortgage Asset Corp","Domestic"
"ANIK","Anika Therapeutics Inc","Domestic"
"ANIP","ANI Pharmaceuticals Inc","Domestic"
"ANIX","Anixa Biosciences Inc","Domestic"
"ANSS","ANSYS Inc","Domestic"
"ANTH","Anthera Pharmaceuticals Inc","Domestic"
"ANTM","Anthem Inc","Domestic"
"ANVH","Anviron Holding Co","Domestic"
"ANVS","Annovis Bio Inc","Domestic"
"AOBC","American Outdoor Brands Corp","Domestic"
"AOLS","Aeolus Pharmaceuticals Inc","Domestic"
"AOS","A. O. Smith Corp","Domestic"
"AOSL","Alpha and Omega Semiconductor Ltd","Domestic"
"AOXY","Advanced Oxygen Technologies Inc","Domestic"
"AP","Ampco-Pittsburgh Corp","Domestic"
"APA","Apache Corp","Domestic"
"APAM","Artisan Partners Asset Management Inc","Domestic"
"APCX","Apptech Corp","Domestic"
"APD","Air Products and Chemicals Inc","Domestic"
"APDN","Applied DNA Sciences Inc","Domestic"
"APEI","American Public Education Inc","Domestic"
"APEN","Apollo Endosurgery Inc","Domestic"
"APEX","Apex Global Brands Inc","Domestic"
"APGI","American Power Group Corp","Domestic"
"APH","Amphenol Corp","Domestic"
"APHE","Alpha Energy Inc","Domestic"
"APLD","Applied Science Products Inc","Domestic"
"APLE","Apple Hospitality REIT Inc","Domestic"
"APLS","Apellis Pharmaceuticals Inc","Domestic"
"APLT","Applied Therapeutics Inc","Domestic"
"APO","Apollo Global Management Inc","Domestic"
"APOG","Apogee Enterprises Inc","Domestic"
"APPB","Applied Biosciences Corp","Domestic"
"APPF","AppFolio Inc","Domestic"
"APPN","Appian Corp","Domestic"
"APPS","Digital Turbine Inc","Domestic"
"APPZ","Monster Arts Inc","Domestic"
"APRE","Aprea Therapeutics Inc","Domestic"
"APRN","Blue Apron Holdings Inc","Domestic"
"APTCF","Advanced Proteome Therapeutics Corporation","Domestic"
"APTL","Alaska Power & Telephone Co","Domestic"
"APTS","Preferred Apartment Communities Inc","Domestic"
"APTV","Aptiv PLC","Domestic"
"APTX","Aptinyx Inc","Domestic"
"APTY","APT Systems Inc","Domestic"
"APVO","Aptevo Therapeutics Inc","Domestic"
"APVS","Applied Visual Sciences Inc","Domestic"
"APY","Apergy Corp","Domestic"
"APYI","Aspyra Inc","Domestic"
